Group,Batch_Number,epoch_num,Benchmark,Accuracy
batch-2-eval1,2,0,winogrande_acc,0.5951065509076559
batch-2-eval1,2,4,winogrande_acc,0.5966850828729282
batch-2-eval1,2,8,winogrande_acc,0.5919494869771112
batch-2-eval1,2,12,winogrande_acc,0.5951065509076559
batch-2-eval1,2,16,winogrande_acc,0.5935280189423836
batch-2-eval1,2,20,winogrande_acc,0.5887924230465666
batch-8-eval1,8,0,winogrande_acc,0.5951065509076559
batch-8-eval1,8,4,winogrande_acc,0.5951065509076559
batch-8-eval1,8,8,winogrande_acc,0.590370955011839
batch-8-eval1,8,12,winogrande_acc,0.5895816890292028
batch-8-eval1,8,16,winogrande_acc,0.5832675611681136
batch-8-eval1,8,20,winogrande_acc,0.5769534333070244
batch-32-eval1,32,0,winogrande_acc,0.5951065509076559
batch-32-eval1,32,4,winogrande_acc,0.595895816890292
batch-32-eval1,32,8,winogrande_acc,0.5919494869771112
batch-32-eval1,32,12,winogrande_acc,0.5895816890292028
batch-32-eval1,32,16,winogrande_acc,0.584846093133386
batch-32-eval1,32,20,winogrande_acc,0.5824782951854776
batch-128-eval1,128,0,winogrande_acc,0.5951065509076559
batch-128-eval1,128,4,winogrande_acc,0.5927387529597474
batch-128-eval1,128,8,winogrande_acc,0.590370955011839
batch-128-eval1,128,12,winogrande_acc,0.5864246250986582
batch-128-eval1,128,16,winogrande_acc,0.5816890292028414
batch-128-eval1,128,20,winogrande_acc,0.5840568271507498
batch-512-eval1,512,0,winogrande_acc,0.5951065509076559
batch-512-eval1,512,4,winogrande_acc,0.5943172849250198
batch-512-eval1,512,8,winogrande_acc,0.5911602209944752
batch-512-eval1,512,12,winogrande_acc,0.5832675611681136
batch-512-eval1,512,16,winogrande_acc,0.5840568271507498
batch-512-eval1,512,20,winogrande_acc,0.5824782951854776
batch-1024-eval1,1024,0,winogrande_acc,0.5951065509076559
batch-1024-eval1,1024,4,winogrande_acc,0.5943172849250198
batch-1024-eval1,1024,8,winogrande_acc,0.5911602209944752
batch-1024-eval1,1024,12,winogrande_acc,0.5832675611681136
batch-1024-eval1,1024,16,winogrande_acc,0.5824782951854776
batch-1024-eval1,1024,20,winogrande_acc,0.585635359116022
batch-2048-eval1,2048,0,winogrande_acc,0.5951065509076559
batch-2048-eval1,2048,4,winogrande_acc,0.5951065509076559
batch-2048-eval1,2048,8,winogrande_acc,0.5895816890292028
batch-2048-eval1,2048,12,winogrande_acc,0.580110497237569
batch-2048-eval1,2048,16,winogrande_acc,0.580110497237569
batch-2048-eval1,2048,20,winogrande_acc,0.5816890292028414
batch-2-eval1,2,0,truthfulqa_mc2_acc,0.3867056875681451
batch-2-eval1,2,4,truthfulqa_mc2_acc,0.3881777607513507
batch-2-eval1,2,8,truthfulqa_mc2_acc,0.3892828464123958
batch-2-eval1,2,12,truthfulqa_mc2_acc,0.3905852638717771
batch-2-eval1,2,16,truthfulqa_mc2_acc,0.3921906156714796
batch-2-eval1,2,20,truthfulqa_mc2_acc,0.3945870415677773
batch-8-eval1,8,0,truthfulqa_mc2_acc,0.3867056875681451
batch-8-eval1,8,4,truthfulqa_mc2_acc,0.3885775244998542
batch-8-eval1,8,8,truthfulqa_mc2_acc,0.3903418692592897
batch-8-eval1,8,12,truthfulqa_mc2_acc,0.3915259019835019
batch-8-eval1,8,16,truthfulqa_mc2_acc,0.3930077887401892
batch-8-eval1,8,20,truthfulqa_mc2_acc,0.3944909285421132
batch-32-eval1,32,0,truthfulqa_mc2_acc,0.3867056875681451
batch-32-eval1,32,4,truthfulqa_mc2_acc,0.3877574089694405
batch-32-eval1,32,8,truthfulqa_mc2_acc,0.3889779185999845
batch-32-eval1,32,12,truthfulqa_mc2_acc,0.3907664504588017
batch-32-eval1,32,16,truthfulqa_mc2_acc,0.3932630050693068
batch-32-eval1,32,20,truthfulqa_mc2_acc,0.3954997240201611
batch-128-eval1,128,0,truthfulqa_mc2_acc,0.3867056875681451
batch-128-eval1,128,4,truthfulqa_mc2_acc,0.3895070077883321
batch-128-eval1,128,8,truthfulqa_mc2_acc,0.3934042362695753
batch-128-eval1,128,12,truthfulqa_mc2_acc,0.3971720634353619
batch-128-eval1,128,16,truthfulqa_mc2_acc,0.4010984820986825
batch-128-eval1,128,20,truthfulqa_mc2_acc,0.4055681703099038
batch-512-eval1,512,0,truthfulqa_mc2_acc,0.3867057241318654
batch-512-eval1,512,4,truthfulqa_mc2_acc,0.3893243148266934
batch-512-eval1,512,8,truthfulqa_mc2_acc,0.3932811741361472
batch-512-eval1,512,12,truthfulqa_mc2_acc,0.3979499642483495
batch-512-eval1,512,16,truthfulqa_mc2_acc,0.4027298129969892
batch-512-eval1,512,20,truthfulqa_mc2_acc,0.4077515434563522
batch-1024-eval1,1024,0,truthfulqa_mc2_acc,0.3867056875681451
batch-1024-eval1,1024,4,truthfulqa_mc2_acc,0.3894947510790207
batch-1024-eval1,1024,8,truthfulqa_mc2_acc,0.3938173273358472
batch-1024-eval1,1024,12,truthfulqa_mc2_acc,0.3987124191739814
batch-1024-eval1,1024,16,truthfulqa_mc2_acc,0.4041925701337538
batch-1024-eval1,1024,20,truthfulqa_mc2_acc,0.4099674727311168
batch-2048-eval1,2048,0,truthfulqa_mc2_acc,0.3867056875681451
batch-2048-eval1,2048,4,truthfulqa_mc2_acc,0.3895788389962577
batch-2048-eval1,2048,8,truthfulqa_mc2_acc,0.3935630193771047
